name,iata,icao,flight_area_class,type,city,opened,lat,lon,source_name
日喀则和平机场,RKZ,ZURK,4C,军民合用,日喀则市,2011-07-08,29.350876,89.299157,Xigaze Peace Airport / Shigatse Air Base
巴彦淖尔天吉泰机场,RLK,ZBYZ,4C,民用,巴彦淖尔市,2011-12-30,40.926358,107.74093,Bayannur Tianjitai Airport
若羌楼兰机场,RQA,ZWRQ,4C,民用,若羌县,2018-03-29,38.974722,88.008333,Ruoqiang Loulan Airport
石河子花园机场,SHF,ZWHZ,4C,民用,石河子市,2015-12-26,44.2421,85.8905,Shihezi Huayuan Airport
荆州沙市机场,SHS,ZHJZ,4C,民用,荆州市,2021-01-30,30.29281,112.44854,Jingzhou Shashi Airport
上饶三清山机场,SQD,ZSSR,4C,民用,上饶市,2017-05-28,28.3797,117.9643,Shangrao Sanqingshan Airport
三明沙县机场,SQJ,ZSSM,4C,民用,三明市,2016-03-07,26.4263,117.8336,Sanming Shaxian Airport
普洱思茅机场,SYM,ZPSM,4C,军民合用,普洱市,1961-03-15,22.793301,100.959,Pu'er Simao Airport
朔州滋润机场,SZH,ZBSG,4C,民用,朔州市,2023-12-18,39.273241,112.691552,Shuozhou Zirun Airport
塔城千泉机场,TCG,ZWTC,4C,民用,塔城市,1995-09-28,46.672501,83.340797,Tacheng Qianquan Airport
腾冲驼峰机场,TCZ,ZPTC,4C,民用,腾冲市,2009-01-23,24.938056,98.485833,Tengchong Tuofeng Airport
铜仁凤凰机场,TEN,ZUTR,4C,民用,铜仁市 凤凰县,2001-07-07,27.883333,109.308889,Tongren Fenghuang Airport
通辽机场,TGO,ZBTL,4C,民用,通辽市,1959-01-01,43.556702,122.199997,Tongliao Airport
通化三源浦机场,TNH,ZYTN,4C,军民合用,通化市,2014-06-18,42.048435,125.733963,Tonghua Sanyuanpu Airport
唐山三女河机场,TVS,ZBSN,4C,军民合用,唐山市,2010-07-13,39.7178,118.002625,Tangshan Sannühe Airport
图木舒克唐王城机场,TWC,ZWTS,4C,民用,图木舒克市,2018-12-26,39.886663,79.233408,Tumxuk Tangwangcheng Airport
乌兰察布集宁机场,UCB,ZBUC,4C,民用,乌兰察布市,2016-04-25,41.130266,113.107274,Ulanqab Jining Airport
十堰武当山机场,WDS,ZHSY,4C,民用,十堰市,2016-02-05,32.592889,110.906296,Shiyan Wudangshan Airport
邵阳武冈机场,WGN,ZGSY,4C,民用,武冈市,2017-06-28,26.806123,110.641042,Shaoyang Wugang Airport
芜湖宣州机场,WHA,ZSWA,4C,民用,芜湖市 宣城市,2021-04-30,31.1045,118.66687,Wuhu Xuanzhou Airport
遵义茅台机场,WMT,ZUMT,4C,民用,仁怀市,2017-10-31,27.961837,106.435416,Zunyi Maotai Airport
文山砚山机场,WNH,ZPWS,4C,民用,文山市,2006-08-30,23.5583,104.3255,Wenshan Puzhehei Airport
重庆巫山机场,WSK,ZUWS,4C,民用,巫山县,2019-08-16,31.06896,109.708958,Chongqing Wushan Airport
乌海机场,WUA,ZBUH,4C,民用,乌海市,2003-12-12,39.7934,106.7993,Wuhai Airport
武夷山机场,WUS,ZSWY,4C,军民合用,武夷山市,1994-01-15,27.7019,118.000999,Nanping Wuyishan Airport
忻州五台山机场,WUT,ZBXZ,4C,军民合用,忻州市,2015-12-25,38.597456,112.969173,Xinzhou Wutaishan Airport
梧州西江机场,WUZ,ZGWZ,4C,民用,梧州市,2019-01-23,23.40316,111.09331,Wuzhou Xijiang Airport
万州五桥机场,WXN,ZUWX,4C,民用,万州区,2003-05-29,30.8017,108.433,Wanzhou Wuqiao Airport
信阳明港机场,XAI,ZHXY,4C,军民合用,信阳市 驻马店市,2018-10-28,32.540819,114.079141,Xinyang Minggang Airport
锡林浩特机场,XIL,ZBXH,4C,民用,锡林浩特市,1992-07-22,43.91559982299805,115.96399688720703,Xilinhot Airport
邢台褡裢机场,XNT,ZBXT,4C,军民合用,邢台市,2024-07-18,36.8831,114.4293,Xingtai Dalian Airport
三沙永兴机场,XYI,ZJYX,4C,军民合用,三沙市,2016-12-22,16.83278,112.34444,Sansha Yongxing Airport
宜宾五粮液机场,YBP,ZUYB,4C,军民合用,宜宾市,2019-12-05,28.858431,104.526157,Yibin Wuliangye Airport
宜春明月山机场,YIC,ZSYC,4C,民用,宜春市,2013-06-26,27.8025,114.3062,Yichun Mingyueshan Airport
阿尔山伊尔施机场,YIE,ZBES,4C,民用,阿尔山市,2011-08-28,47.3106,119.9117,Arxan Yi'ershi Airport
伊犁伊宁国际机场,YIN,ZWYN,4C,民用,伊宁市,1950-07-01,43.955799,81.330299,Ili Yining International Airport
营口兰旗机场,YKH,ZYYK,4C,民用,营口市,2016-02-03,40.542524,122.3586,Yingkou Lanqi Airport
玉林福绵机场,YLX,ZGYL,4C,民用,玉林市,2020-08-28,22.433042,110.119996,Yulin Fumian Airport
延吉朝阳川国际机场,YNJ,ZYYJ,4C,军民合用,延吉市,1985-08-29,42.8828010559,129.451004028,Yanji Chaoyangchuan Airport
盐城南洋国际机场,YNZ,ZSYN,4C,军民合用,盐城市,2000-03-29,33.428317,120.20545,Yancheng Nanyang International Airport
松原查干湖机场,YSQ,ZYSQ,4C,民用,松原市,2017-10-29,44.931143,124.552121,Songyuan Chaganhu Airport
于田万方机场,YTW,ZWYT,4C,军民合用,于田县,2020-12-26,36.8085,81.7827,Yutian Wanfang Airport
玉树巴塘机场,YUS,ZLYS,4C,民用,玉树市,2009-08-01,32.836389,97.036389,Yushu Batang Airport
岳阳三荷机场,YYA,ZGYY,4C,民用,岳阳市,2018-12-26,29.311699,113.281574,Yueyang Sanhe Airport
张掖甘州机场,YZY,ZLZY,4C,军民合用,张掖市,2011-11-01,38.801899,100.675003,Zhangye Ganzhou Airport
昭通机场,ZAT,ZPZT,4C,军民合用,昭通市,1993-12-20,27.327549,103.75617,Zhaotong Airport
昭苏天马机场,ZFL,ZWZS,4C,民用,昭苏县,2022-01-28,43.088477,81.223013,Zhaosu Tianma Airport
中卫沙坡头机场,ZHY,ZLZW,4C,民用,中卫市,2008-12-26,37.573125,105.154454,Zhongwei Shapotou Airport
张家口宁远机场,ZQZ,ZBZJ,4C,军民合用,张家口市,2013-06-16,40.738664,114.933395,Zhangjiakou Ningyuan Airport
遵义新舟机场,ZYI,ZUZY,4C,军民合用,遵义市,2012-08-28,27.810723,107.247189,Zunyi Xinzhou Airport
北海福成机场,BHY,ZGBH,4D,民用,北海市,1986-12-10,21.538659,109.293683,Beihai Fucheng Airport
常德桃花源机场,CGD,ZGCD,4D,民用,常德市,1965-04-15,28.9189,111.639999,Changde Taohuayuan Airport
迪庆香格里拉机场,DIG,ZPDQ,4D,民用,香格里拉市,1999-04-30,27.7936,99.6772,Diqing Shangri-La Airport
敦煌莫高国际机场,DNH,ZLDH,4D,民用,敦煌市,1982-08-31,40.161953,94.812827,Dunhuang Mogao International Airport
东营胜利机场,DOY,ZSDY,4D,民用,东营市,2001-11-28,37.50137,118.789863,Dongying Shengli Airport
张家界荷花国际机场,DYG,ZGDY,4D,民用,张家界市,1994-08-18,29.104749,110.442786,Zhangjiajie Hehua International Airport
格尔木机场,GOQ,ZLGM,4D,军民合用,格尔木市,1996-03-15,36.4006,94.786102,Golmud Airport
淮安涟水国际机场,HIA,ZSSH,4D,民用,淮安市,2010-09-26,33.792712,119.126657,Huai'an Lianshui Airport
呼伦贝尔海拉尔国际机场,HLD,ZBLA,4D,民用,呼伦贝尔市,1950-07-01,49.208616,119.822301,Hulunbuir Hailar Airport
舟山普陀山国际机场,HSN,ZSZS,4D,民用,舟山市,1997-07-28,29.933874,122.362307,Zhoushan Putuoshan International Airport
和田昆冈机场,HTN,ZWTN,4D,军民合用,和田市,1956-07-02,37.03850173950195,79.86489868164062,Hotan Airport
嘉峪关酒泉机场,JGN,ZLJQ,4D,民用,嘉峪关市 酒泉市,1953-07-01,39.859052,98.339344,Jiayuguan International Airport
西双版纳嘎洒国际机场,JHG,ZPJH,4D,民用,景洪市,1990-04-07,21.974648,100.762224,Xishuangbanna Gasa International Airport
泉州晋江国际机场,JJN,ZSQZ,4D,军民合用,泉州市,1996-12-12,24.795855,118.588599,Quanzhou Jinjiang International Airport
九寨黄龙机场,JZH,ZUJZ,4D,民用,九寨沟县,2003-09-28,32.853333,103.682222,Jiuzhai Huanglong Airport
库尔勒梨城机场,KRL,ZWKL,4D,军民合用,库尔勒市,2007-12-20,41.614979,86.140817,Korla Licheng Airport
克拉玛依古海机场,KRY,ZWKM,4D,民用,克拉玛依市,2006-04-10,45.46655,84.9527,Karamay Airport
丽江三义国际机场,LJG,ZPLJ,4D,民用,丽江市,1995-06-09,26.677483,100.244944,Lijiang Sanyi International Airport
洛阳北郊机场,LYA,ZHLY,4D,民用,洛阳市,1987-09-26,34.7411,112.388,Luoyang Beijiao Airport
连云港花果山国际机场,LYG,ZSLG,4D,民用,连云港市,2021-12-02,34.41406,119.17899,Lianyungang Huaguoshan International Airport
临沂启阳国际机场,LYI,ZSLY,4D,民用,临沂市,1998-12-26,35.052918,118.411828,Linyi Qiyang Airport
林芝米林机场,LZY,ZUNZ,4D,军民合用,林芝市,2006-09-01,29.303301,94.335297,Nyingchi Mainling Airport
绵阳南郊机场,MIG,ZUMY,4D,军民合用,绵阳市,2001-04-28,31.428101,104.740997,Mianyang Nanjiao Airport
白山长白山机场,NBS,ZYBS,4D,民用,长白山管委会,2008-08-03,42.066944,127.602222,Changbaishan Airport
阿里昆莎机场,NGQ,ZUAL,4D,军民合用,噶尔县,2010-07-01,32.09794,80.053971,Ngari Gunsa Airport
南阳姜营机场,NNY,ZHNY,4D,民用,南阳市,1992-12-21,32.982696,112.617467,Nanyang Jiangying Airport
满洲里西郊国际机场,NZH,ZBMZ,4D,民用,满洲里市,2004-12-08,49.566667,117.33,Manzhouli Xijiao Airport
黄山屯溪国际机场,TXN,ZSTX,4D,民用,黄山市,1959-11-11,29.733299,118.255997,Huangshan Tunxi International Airport
榆林榆阳机场,UYN,ZLYL,4D,民用,榆林市,2008-04-10,38.35971,109.590927,Yulin Yuyang Airport
潍坊机场,WEF,ZSWF,4D,军民合用,潍坊市,1996-04-04,36.646702,119.119003,Weifang Nanyuan Airport
威海大水泊国际机场,WEH,ZSWH,4D,军民合用,威海市,1995-10-31,37.187099,122.228996,Weihai Dashuibo Airport
襄阳刘集机场,XFN,ZHXF,4D,民用,襄阳市,1989-12-14,32.152222,112.291666,Xiangyang Liuji Airport
西昌青山机场,XIC,ZUXC,4D,军民合用,西昌市,1975-07-21,27.9891,102.183998,Xichang Qingshan Airport
徐州观音国际机场,XUZ,ZSXZ,4D,民用,徐州市,1997-11-08,34.059056,117.555278,Xuzhou Guanyin International Airport
宜昌三峡国际机场,YIH,ZHYC,4D,民用,宜昌市,1996-12-28,30.554132,111.482563,Yichang Sanxia Airport
义乌机场,YIW,ZSYW,4D,军民合用,义乌市,1991-04-01,29.342095,120.03116,Yiwu Airport
长春龙嘉国际机场,CGQ,ZYCC,4E,民用,长春市,2005-08-27,43.996201,125.684998,Changchun Longjia International Airport
长沙黄花国际机场,CSX,ZGHA,4E,民用,长沙市,1989-08-29,28.189199,113.220001,Changsha Huanghua International Airport
常州奔牛国际机场,CZX,ZSCG,4E,军民合用,常州市,1986-03-15,31.920485,119.77546,Changzhou Benniu International Airport
大连周水子国际机场,DLC,ZYTL,4E,民用,大连市,1973-04-06,38.965719,121.538477,Dalian Zhoushuizi International Airport
